task,metric,perm_idx,null_score
veracity,auc,0,0.5193117294717922
veracity,auc,1,0.48743618340486317
veracity,auc,2,0.5129064325922823
veracity,auc,3,0.5032559888820642
veracity,auc,4,0.5343862608530449
veracity,auc,5,0.4525031357585762
veracity,auc,6,0.5009530686089814
veracity,auc,7,0.4961153527715112
veracity,auc,8,0.5058014105568294
veracity,auc,9,0.4932592942999198
veracity,auc,10,0.5016100349922136
veracity,auc,11,0.4718747979373081
veracity,auc,12,0.5016030879743145
veracity,auc,13,0.5204363278375868
veracity,auc,14,0.4666342523954361
veracity,auc,15,0.5164580270839508
veracity,auc,16,0.46730245315090607
veracity,auc,17,0.4784332627493219
veracity,auc,18,0.48375579798444013
veracity,auc,19,0.4982815808412383
veracity,auc,20,0.5144740714347181
veracity,auc,21,0.472693910763052
veracity,auc,22,0.46623868617173336
veracity,auc,23,0.4968193668389077
veracity,auc,24,0.49733492848203814
veracity,auc,25,0.49759246358448317
veracity,auc,26,0.503120366241738
veracity,auc,27,0.5016777748468437
veracity,auc,28,0.5259697095785134
veracity,auc,29,0.47813039241029837
veracity,auc,30,0.5290837919454223
veracity,auc,31,0.5091549332221195
veracity,auc,32,0.5015928140818157
veracity,auc,33,0.4755701891424522
veracity,auc,34,0.5221747557940488
veracity,auc,35,0.4926399296068129
veracity,auc,36,0.50376326707846
veracity,auc,37,0.498408560169465
veracity,auc,38,0.46160010996427864
veracity,auc,39,0.5189447790701751
veracity,auc,40,0.5462624974718931
veracity,auc,41,0.4851077417242163
veracity,auc,42,0.511126184606906
veracity,auc,43,0.500241302104985
veracity,auc,44,0.4773028270209857
veracity,auc,45,0.45178765466980025
veracity,auc,46,0.49397132453883225
veracity,auc,47,0.5118936558711045
veracity,auc,48,0.474969930291545
veracity,auc,49,0.47048996022718087
veracity,auc,50,0.4872587076398796
veracity,auc,51,0.4644480118709645
veracity,auc,52,0.5111764810280383
veracity,auc,53,0.50398275017077
veracity,auc,54,0.49929817517208264
veracity,auc,55,0.5048693786389513
veracity,auc,56,0.506742163265255
veracity,auc,57,0.4913305296207596
veracity,auc,58,0.5197513419887886
veracity,auc,59,0.5227276532546625
veracity,auc,60,0.48622593545227344
veracity,auc,61,0.5117421750876302
veracity,auc,62,0.5010355669513789
veracity,auc,63,0.512613180293873
veracity,auc,64,0.49781214374517385
veracity,auc,65,0.5167186887965349
veracity,auc,66,0.501194854743465
veracity,auc,67,0.501481240472933
veracity,auc,68,0.4845871285275569
veracity,auc,69,0.5321349927227235
veracity,auc,70,0.5200531141992294
veracity,auc,71,0.4872326137217925
veracity,auc,72,0.49435428788585456
veracity,auc,73,0.48357090364961053
veracity,auc,74,0.5005992460510986
veracity,auc,75,0.5271375404250783
veracity,auc,76,0.4781899130622957
veracity,auc,77,0.501495257041209
veracity,auc,78,0.4881654484171027
veracity,auc,79,0.5024393991658074
veracity,auc,80,0.5039316616644001
veracity,auc,81,0.5080353060845176
veracity,auc,82,0.4667798660104105
veracity,auc,83,0.48971401762047845
veracity,auc,84,0.5167327889282143
veracity,auc,85,0.48437595429893443
veracity,auc,86,0.53311272903528
veracity,auc,87,0.4985471766184496
veracity,auc,88,0.494193610737719
veracity,auc,89,0.5136841825526577
