task,feature_set,best_window,metric,metric_mean,metric_std,N_used
veracity_binary,baseline,30,auc,0.6491314688315343,0.02024972972872029,2233
veracity_binary,full,30,auc,0.6421782232096527,0.02107429742740233,2233
reach,baseline,180,r2,0.6048945303333758,0.03693864083976844,2265
reach,full,180,r2,0.6282699969492599,0.03279854666172376,2265
